,광역시도,시군:,pop,moon,ahn,hong
0,서울특별시,종로구,,,,
1,서울특별시,중구,,,,
2,서울특별시,용산구,,,,
3,서울특별시,성동구,,,,
4,서울특별시,광진구,,,,
5,서울특별시,동대문구,,,,
6,서울특별시,중랑구,,,,
7,서울특별시,성북구,,,,
8,서울특별시,강북구,,,,
9,서울특별시,도봉구,,,,
10,서울특별시,노원구,,,,
11,서울특별시,은평구,,,,
12,서울특별시,서대문구,,,,
13,서울특별시,마포구,,,,
14,서울특별시,양천구,,,,
15,서울특별시,강서구,,,,
16,서울특별시,구로구,,,,
17,서울특별시,금천구,,,,
18,서울특별시,영등포구,,,,
19,서울특별시,동작구,,,,
20,서울특별시,관악구,,,,
21,서울특별시,서초구,,,,
22,서울특별시,강남구,,,,
23,서울특별시,송파구,,,,
24,서울특별시,강동구,,,,
25,부산광역시,중구,,,,
26,부산광역시,서구,,,,
27,부산광역시,동구,,,,
28,부산광역시,영도구,,,,
29,부산광역시,부산진구,,,,
30,부산광역시,동래구,,,,
31,부산광역시,남구,,,,
32,부산광역시,북구,,,,
33,부산광역시,해운대구,,,,
34,부산광역시,기장군,,,,
35,부산광역시,사하구,,,,
36,부산광역시,금정구,,,,
37,부산광역시,강서구,,,,
38,부산광역시,연제구,,,,
39,부산광역시,수영구,,,,
40,부산광역시,사상구,,,,
41,대구광역시,중구,,,,
42,대구광역시,동구,,,,
43,대구광역시,서구,,,,
44,대구광역시,남구,,,,
45,대구광역시,북구,,,,
46,대구광역시,수성구,,,,
47,대구광역시,달서구,,,,
48,대구광역시,달성군,,,,
49,인천광역시,중구,,,,
50,인천광역시,동구,,,,
51,인천광역시,남구,,,,
52,인천광역시,연수구,,,,
53,인천광역시,남동구,,,,
54,인천광역시,부평구,,,,
55,인천광역시,계양구,,,,
56,인천광역시,서구,,,,
57,인천광역시,강화군,,,,
58,인천광역시,옹진군,,,,
59,광주광역시,동구,,,,
60,광주광역시,서구,,,,
61,광주광역시,남구,,,,
62,광주광역시,북구,,,,
63,광주광역시,광산구,,,,
64,대전광역시,동구,,,,
65,대전광역시,중구,,,,
66,대전광역시,서구,,,,
67,대전광역시,유성구,,,,
68,대전광역시,대덕구,,,,
69,울산광역시,중구,,,,
70,울산광역시,남구,,,,
71,울산광역시,동구,,,,
72,울산광역시,북구,,,,
73,울산광역시,울주군,,,,
74,세종특별자치시,세종특별자치시,,,,
75,경기도,수원시장안구,,,,
76,경기도,수원시권선구,,,,
77,경기도,수원시팔달구,,,,
78,경기도,수원시영통구,,,,
79,경기도,성남시수정구,,,,
80,경기도,성남시중원구,,,,
81,경기도,성남시분당구,,,,
82,경기도,의정부시,,,,
83,경기도,안양시만안구,,,,
84,경기도,안양시동안구,,,,
85,경기도,부천시,,,,
86,경기도,광명시,,,,
87,경기도,평택시,,,,
88,경기도,양주시,,,,
89,경기도,동두천시,,,,
90,경기도,안산시상록구,,,,
91,경기도,안산시단원구,,,,
92,경기도,고양시덕양구,,,,
93,경기도,고양시일산동구,,,,
94,경기도,고양시일산서구,,,,
95,경기도,과천시,,,,
96,경기도,의왕시,,,,
97,경기도,구리시,,,,
98,경기도,남양주시,,,,
99,경기도,오산시,,,,
100,경기도,화성시,,,,
101,경기도,시흥시,,,,
102,경기도,군포시,,,,
103,경기도,하남시,,,,
104,경기도,파주시,,,,
105,경기도,여주시,,,,
106,경기도,이천시,,,,
107,경기도,용인시처인구,,,,
108,경기도,용인시수지구,,,,
109,경기도,용인시기흥구,,,,
110,경기도,안성시,,,,
111,경기도,김포시,,,,
112,경기도,광주시,,,,
113,경기도,포천시,,,,
114,경기도,연천군,,,,
115,경기도,양평군,,,,
116,경기도,가평군,,,,
117,강원도,춘천시,,,,
118,강원도,원주시,,,,
119,강원도,강릉시,,,,
120,강원도,동해시,,,,
121,강원도,삼척시,,,,
122,강원도,태백시,,,,
123,강원도,정선군,,,,
124,강원도,속초시,,,,
125,강원도,고성군,,,,
126,강원도,양양군,,,,
127,강원도,인제군,,,,
128,강원도,홍천군,,,,
129,강원도,횡성군,,,,
130,강원도,영월군,,,,
131,강원도,평창군,,,,
132,강원도,화천군,,,,
133,강원도,양구군,,,,
134,강원도,철원군,,,,
135,충청북도,청주시상당구,,,,
136,충청북도,청주시서원구,,,,
137,충청북도,청주시흥덕구,,,,
138,충청북도,청주시청원구,,,,
139,충청북도,충주시,,,,
140,충청북도,제천시,,,,
141,충청북도,단양군,,,,
142,충청북도,영동군,,,,
143,충청북도,보은군,,,,
144,충청북도,옥천군,,,,
145,충청북도,음성군,,,,
146,충청북도,진천군,,,,
147,충청북도,괴산군,,,,
148,충청북도,증평군,,,,
149,충청남도,천안시서북구,,,,
150,충청남도,천안시동남구,,,,
151,충청남도,공주시,,,,
152,충청남도,보령시,,,,
153,충청남도,아산시,,,,
154,충청남도,서산시,,,,
155,충청남도,태안군,,,,
156,충청남도,금산군,,,,
157,충청남도,논산시,,,,
158,충청남도,계룡시,,,,
159,충청남도,당진시,,,,
160,충청남도,부여군,,,,
161,충청남도,서천군,,,,
162,충청남도,홍성군,,,,
163,충청남도,청양군,,,,
164,충청남도,예산군,,,,
165,전라북도,전주시완산구,,,,
166,전라북도,전주시덕진구,,,,
167,전라북도,군산시,,,,
168,전라북도,익산시,,,,
169,전라북도,정읍시,,,,
170,전라북도,남원시,,,,
171,전라북도,김제시,,,,
172,전라북도,완주군,,,,
173,전라북도,진안군,,,,
174,전라북도,무주군,,,,
175,전라북도,장수군,,,,
176,전라북도,임실군,,,,
177,전라북도,순창군,,,,
178,전라북도,고창군,,,,
179,전라북도,부안군,,,,
180,전라남도,목포시,,,,
181,전라남도,여수시,,,,
182,전라남도,순천시,,,,
183,전라남도,나주시,,,,
184,전라남도,광양시,,,,
185,전라남도,담양군,,,,
186,전라남도,장성군,,,,
187,전라남도,곡성군,,,,
188,전라남도,구례군,,,,
189,전라남도,고흥군,,,,
190,전라남도,보성군,,,,
191,전라남도,화순군,,,,
192,전라남도,장흥군,,,,
193,전라남도,강진군,,,,
194,전라남도,완도군,,,,
195,전라남도,해남군,,,,
196,전라남도,진도군,,,,
197,전라남도,영암군,,,,
198,전라남도,무안군,,,,
199,전라남도,영광군,,,,
200,전라남도,함평군,,,,
201,전라남도,신안군,,,,
202,경상북도,포항시북구,,,,
203,경상북도,포항시남구,,,,
204,경상북도,울릉군,,,,
205,경상북도,경주시,,,,
206,경상북도,김천시,,,,
207,경상북도,안동시,,,,
208,경상북도,구미시,,,,
209,경상북도,영주시,,,,
210,경상북도,영천시,,,,
211,경상북도,상주시,,,,
212,경상북도,문경시,,,,
213,경상북도,예천군,,,,
214,경상북도,경산시,,,,
215,경상북도,청도군,,,,
216,경상북도,고령군,,,,
217,경상북도,성주군,,,,
218,경상북도,칠곡군,,,,
219,경상북도,군위군,,,,
220,경상북도,의성군,,,,
221,경상북도,청송군,,,,
222,경상북도,영양군,,,,
223,경상북도,영덕군,,,,
224,경상북도,봉화군,,,,
225,경상북도,울진군,,,,
226,경상남도,창원시의창구,,,,
227,경상남도,창원시성산구,,,,
228,경상남도,창원시마산합포구,,,,
229,경상남도,창원시마산회원구,,,,
230,경상남도,창원시진해구,,,,
231,경상남도,진주시,,,,
232,경상남도,통영시,,,,
233,경상남도,고성군,,,,
234,경상남도,사천시,,,,
235,경상남도,김해시,,,,
236,경상남도,밀양시,,,,
237,경상남도,거제시,,,,
238,경상남도,의령군,,,,
239,경상남도,함안군,,,,
240,경상남도,창녕군,,,,
241,경상남도,양산시,,,,
242,경상남도,하동군,,,,
243,경상남도,남해군,,,,
244,경상남도,함양군,,,,
245,경상남도,산청군,,,,
246,경상남도,거창군,,,,
247,경상남도,합천군,,,,
248,제주특별자치도,제주시,,,,
249,제주특별자치도,서귀포시,,,,
